industry,median_asking_price,median_sold_price,median_sde,price_to_sde_multiple,median_revenue,price_to_revenue_multiple,cashflow_margin_pct,listings_count,days_on_market,median_sba_loan,sba_default_rate_pct
Storage Facilities And Warehouses,3757500.00,2625000.00,1111412.00,2.36,3446700.00,0.76,0.3230,12,,770902.00,0.0000
Energy And Petroleum Production Businesses,1800000.00,1800000.00,593306.00,3.03,2132835.00,0.84,0.2780,8,,1013914.00,0.0480
Casinos,3000000.00,2500000.00,540000.00,4.63,2100000.00,1.19,0.2570,2,,,
Heavy Construction Businesses,1780000.00,1780000.00,524098.00,3.4,3665808.00,0.49,0.1430,20,,369869.00,0.0210
"Auto, Boat And Aircraft Manufacturers",1025000.00,1025000.00,500448.00,2.05,1113980.00,0.92,0.4490,5,,679520.00,0.0090
Packaging Businesses,1600000.00,1537500.00,479500.00,3.21,2875000.00,0.53,0.1670,3,,472809.00,0.0000
Industrial And Commercial Machinery Manufacturers,1525000.00,1125488.00,452500.00,2.49,2590820.00,0.43,0.1750,14,,731053.00,0.0290
Concrete Businesses,1100000.00,1000000.00,400000.00,2.5,1900000.00,0.53,0.2110,24,,316200.00,0.0280
Security Businesses,1295000.00,1200000.00,400000.00,3,1507193.00,0.8,0.2650,16,,305286.00,0.0630
Dental Practices,419000.00,419000.00,385579.00,1.09,809770.00,0.52,0.4760,16,,802515.00,0.0130
Truck Stops,850000.00,800000.00,384686.00,2.08,2030306.00,0.39,0.1890,6,,,
Other Financial Services Businesses,795000.00,975000.00,384000.00,2.54,716496.00,1.36,0.5360,17,,584122.00,0.0220
Plumbing Businesses,950000.00,870000.00,350000.00,2.49,1500000.00,0.58,0.2330,21,,313831.00,0.0450
Metal Product Manufacturers,849500.00,834500.00,342081.00,2.44,1233690.00,0.68,0.2770,42,,699641.00,0.0290
Medical Device And Product Manufacturers,1030000.00,805000.00,317448.00,2.54,957000.00,0.84,0.3320,5,,507877.00,0.0000
Electrical And Mechanical Contracting Businesses,750000.00,750000.00,298545.00,2.51,1100000.00,0.68,0.2710,38,,293763.00,0.0490
Towing Companies,800000.00,720000.00,298390.00,2.41,1293382.00,0.56,0.2310,10,,288690.00,0.0530
Other Online And Technology Businesses,544950.00,497500.00,291500.00,1.71,1009372.00,0.49,0.2890,25,,275238.00,0.0390
Furniture And Fitures Manufacturers,670845.00,650000.00,289361.00,2.25,1582259.00,0.41,0.1830,23,,524550.00,0.0360
Marine Boat Services And Dealers,439000.00,435000.00,288408.00,1.51,703709.00,0.62,0.4100,19,,566344.00,0.0740
Business Real Estate For Lease,900000.00,850000.00,276948.00,3.07,955334.00,0.89,0.2900,3,,423617.00,0.0480
Rubber And Plastic Products Manufacturers,950000.00,600000.00,276000.00,2.17,1287000.00,0.47,0.2140,10,,799215.00,0.0110
Trucking Companies,824500.00,722500.00,258967.00,2.79,1257517.00,0.57,0.2060,69,,180199.00,0.0610
